timestamp;cpu;ram;disco
2026-08-20 18:08:19;10.1;58.5;83.1
2026-08-20 18:08:30;0.6;58.5;83.1
2026-08-20 18:08:41;1.9;58.4;83.1
2026-08-20 18:08:52;1.2;58.3;83.1
2026-08-20 18:09:03;1.6;58.9;83.1
2026-08-20 18:09:14;0.2;58.8;83.1
2026-08-20 18:09:25;10.1;59.0;83.1
2026-08-20 18:09:36;2.1;58.3;83.1
2026-08-20 18:09:47;11.0;58.7;83.1
2026-08-20 18:09:58;1.4;58.4;83.1
2026-08-20 18:10:09;3.1;58.7;83.1
2026-08-20 18:10:20;18.7;58.5;83.1
2026-08-20 18:10:31;13.4;58.5;83.1
2026-08-20 18:10:42;13.6;58.4;83.1
2026-08-20 18:10:53;0.6;58.3;83.1
2026-08-20 18:11:04;1.4;58.3;83.1
2026-08-20 18:11:15;0.4;58.3;83.1
2026-08-20 18:11:26;1.8;58.3;83.1
2026-08-20 18:11:37;5.6;58.2;83.1
2026-08-20 18:11:48;11.3;58.3;83.1
2026-08-20 18:11:59;10.8;58.6;83.1
2026-08-20 18:12:10;0.4;58.5;83.1
2026-08-20 18:12:21;0.4;58.6;83.1
2026-08-20 18:12:32;23.4;58.5;83.1
2026-08-20 18:12:43;48.2;60.2;83.1
2026-08-20 18:12:54;1.8;59.1;83.1
2026-08-20 18:13:05;15.0;59.3;83.1
2026-08-20 18:13:16;0.2;59.6;83.1
2026-08-20 18:13:27;3.5;59.6;83.1
2026-08-20 18:13:38;1.2;59.5;83.1
2026-08-20 18:13:49;11.8;59.6;83.1
2026-08-20 18:14:00;53.7;60.6;83.1
2026-08-20 18:14:11;10.1;58.4;83.1
2026-08-20 18:14:22;13.3;58.2;83.1
2026-08-20 18:14:33;0.0;58.1;83.1
2026-08-20 18:14:44;0.0;58.0;83.1
2026-08-20 18:14:55;0.4;58.0;83.1
2026-08-20 18:15:06;0.6;58.0;83.1
2026-08-20 18:15:17;0.8;58.0;83.1
2026-08-20 18:15:28;11.8;58.1;83.1
2026-08-20 18:15:39;4.1;57.0;83.1
2026-08-20 18:15:50;21.1;58.3;83.1
2026-08-20 18:16:01;1.0;58.0;83.1
2026-08-20 18:16:12;2.7;57.9;83.1
2026-08-20 18:16:23;1.0;57.9;83.1
2026-08-20 18:16:34;4.1;57.9;83.1
2026-08-20 18:16:45;0.8;57.9;83.1
2026-08-20 18:16:56;1.5;57.8;83.1
2026-08-20 18:17:07;2.9;57.8;83.1
2026-08-20 18:17:18;3.5;57.8;83.1
2026-08-20 18:17:29;1.4;57.7;83.1
2026-08-20 18:17:40;1.6;57.8;83.1
2026-08-20 18:17:51;1.4;57.8;83.1
2026-08-20 18:18:02;1.0;57.8;83.1
2026-08-20 18:18:13;3.5;57.3;83.1
2026-08-20 18:18:24;23.9;58.0;83.1
2026-08-20 18:18:35;13.4;58.0;83.1
2026-08-20 18:18:46;0.2;57.7;83.1
2026-08-20 18:18:57;0.6;57.7;83.1
2026-08-20 18:19:08;18.1;57.9;83.1
2026-08-20 18:19:19;1.4;58.0;83.1
2026-08-20 18:19:30;15.4;58.1;83.1
2026-08-20 18:19:41;30.3;58.0;83.1
2026-08-20 18:19:52;31.0;58.0;83.1
2026-08-20 18:20:03;5.8;58.1;83.1
2026-08-20 18:20:14;0.8;57.9;83.1
2026-08-20 18:20:25;2.1;58.0;83.1
2026-08-20 18:20:36;17.4;58.1;83.1
2026-08-20 18:20:47;0.2;57.9;83.1
2026-08-20 18:20:58;0.4;57.9;83.1
2026-08-20 18:21:09;0.2;57.9;83.1
2026-08-20 18:21:20;0.4;57.9;83.1
2026-08-20 18:21:31;2.9;57.9;83.1
2026-08-20 18:21:42;0.6;57.1;83.1
2026-08-20 18:21:53;14.5;57.1;83.1
2026-08-20 18:22:04;2.1;57.1;83.1
2026-08-20 18:22:15;24.4;57.2;83.1
2026-08-20 18:22:26;0.4;57.1;83.1
2026-08-20 18:22:37;0.2;57.1;83.1
2026-08-20 18:22:48;11.0;57.2;83.1
2026-08-20 18:22:59;1.2;57.3;83.1
2026-08-20 18:23:10;16.7;57.3;83.1
2026-08-20 18:23:21;2.1;57.5;83.1
2026-08-20 18:23:32;0.6;57.5;83.1
2026-08-20 18:23:43;0.6;57.4;83.1
2026-08-20 18:23:54;0.6;57.4;83.1
2026-08-20 18:24:05;22.2;57.5;83.1
2026-08-20 18:24:16;3.9;57.4;83.1
2026-08-20 18:24:27;2.9;57.5;83.1
2026-08-20 18:24:38;4.9;57.5;83.1
2026-08-20 18:24:49;32.6;57.5;83.1
2026-08-20 18:25:00;1.4;57.6;83.1
2026-08-20 18:25:11;3.1;57.5;83.1
2026-08-20 18:25:22;10.5;58.3;83.1
2026-08-20 18:25:33;14.5;58.2;83.1
2026-08-20 18:25:45;5.7;58.3;83.1
2026-08-20 18:25:56;10.2;58.4;83.1
2026-08-20 18:26:07;0.4;58.3;83.1
2026-08-20 18:26:18;1.0;58.3;83.1
2026-08-20 18:26:29;0.0;58.5;83.1
2026-08-20 18:26:40;19.3;59.2;83.1
2026-08-20 18:26:51;3.3;57.8;83.1
2026-08-20 18:27:02;7.0;57.4;83.1
2026-08-20 18:27:13;0.4;57.0;83.1
2026-08-20 18:27:24;5.0;56.9;83.1
