timestamp;cpu;ram;disco
2026-08-20 10:58:08;33.9;77.0;62.0
2026-08-20 10:58:10;0.8;77.3;62.0
2026-08-20 10:58:12;3.5;77.1;62.0
2026-08-20 10:58:14;1.2;77.1;62.0
2026-08-20 10:58:16;1.5;76.8;62.0
2026-08-20 10:58:18;20.4;75.0;62.0
2026-08-20 10:58:20;1.2;74.9;62.0
2026-08-20 10:58:22;2.7;74.8;62.0
2026-08-20 10:58:24;2.3;74.8;62.0
2026-08-20 10:58:26;0.0;74.8;62.0
2026-08-20 10:58:28;0.8;74.8;62.0
2026-08-20 10:58:30;2.7;74.7;62.0
2026-08-20 10:58:32;3.5;74.8;62.0
2026-08-20 10:58:34;0.4;74.5;62.0
2026-08-20 10:58:36;1.2;74.5;62.0
2026-08-20 10:58:38;0.8;74.5;62.0
2026-08-20 10:58:40;0.0;74.5;62.0
2026-08-20 10:58:42;0.4;74.5;62.0
2026-08-20 10:58:44;7.1;74.6;62.0
2026-08-20 10:58:46;1.6;74.5;62.0
2026-08-20 10:58:48;0.0;74.6;62.0
2026-08-20 10:58:50;0.4;73.9;62.0
2026-08-20 10:58:52;0.8;73.9;62.0
2026-08-20 10:58:54;0.4;73.9;62.0
2026-08-20 10:58:56;1.2;73.9;62.0
2026-08-20 10:58:58;21.6;74.2;62.0
2026-08-20 10:59:00;25.3;74.2;62.0
2026-08-20 10:59:02;24.9;74.3;62.0
2026-08-20 10:59:04;24.6;74.3;62.0
2026-08-20 10:59:06;31.5;74.4;62.0
2026-08-20 10:59:08;12.5;74.4;62.0
2026-08-20 10:59:10;26.5;74.5;62.0
2026-08-20 10:59:12;14.0;74.5;62.0
2026-08-20 10:59:14;34.4;74.2;62.0
2026-08-20 10:59:16;8.2;74.3;62.0
2026-08-20 10:59:18;17.7;73.9;62.0
2026-08-20 10:59:20;13.3;74.3;62.0
2026-08-20 10:59:22;36.3;74.0;62.0
2026-08-20 10:59:24;31.7;74.4;62.0
2026-08-20 10:59:26;51.0;75.4;62.0
2026-08-20 10:59:28;20.4;75.5;62.0
2026-08-20 10:59:30;19.5;75.4;62.0
2026-08-20 10:59:32;19.0;74.8;62.0
2026-08-20 10:59:34;36.2;74.3;62.0
2026-08-20 10:59:36;15.7;74.3;62.0
2026-08-20 10:59:38;5.9;73.9;62.0
2026-08-20 10:59:40;29.6;73.9;62.0
2026-08-20 10:59:42;4.7;73.9;62.0
2026-08-20 10:59:44;0.8;73.9;62.0
2026-08-20 10:59:46;0.0;73.9;62.0
2026-08-20 10:59:48;1.9;74.0;62.0
2026-08-20 10:59:50;12.3;73.9;62.0
2026-08-20 10:59:52;15.7;74.3;62.0
2026-08-20 10:59:54;18.0;74.4;62.0
2026-08-20 10:59:56;6.6;74.4;62.0
2026-08-20 10:59:58;5.5;74.2;62.0
2026-08-20 11:00:00;3.9;72.5;62.0
2026-08-20 11:00:02;1.2;72.4;62.0
2026-08-20 11:00:04;2.0;72.4;62.0
2026-08-20 11:00:06;11.9;72.4;62.0
2026-08-20 11:00:08;0.0;72.4;62.0
2026-08-20 11:00:10;1.6;72.4;62.0
2026-08-20 11:00:12;1.6;72.4;62.0
2026-08-20 11:00:14;1.9;72.4;62.0
2026-08-20 11:00:16;9.3;72.4;62.0
2026-08-20 11:00:18;14.0;72.8;62.0
2026-08-20 11:00:20;15.8;72.8;62.0
2026-08-20 11:00:22;33.1;73.0;62.0
2026-08-20 11:00:24;25.1;73.0;62.0
2026-08-20 11:00:26;36.5;72.7;62.0
2026-08-20 11:00:28;1.9;72.7;62.0
2026-08-20 11:00:30;11.2;72.8;62.0
2026-08-20 11:00:32;25.9;72.5;62.0
2026-08-20 11:00:34;29.1;72.5;62.0
2026-08-20 11:00:36;51.9;72.4;62.0
2026-08-20 11:00:38;27.8;72.4;62.0
2026-08-20 11:00:40;15.5;72.6;62.0
2026-08-20 11:00:42;37.3;72.8;62.0
2026-08-20 11:00:44;7.8;72.8;62.0
2026-08-20 11:00:46;6.6;72.7;62.0
2026-08-20 11:00:48;22.6;72.8;62.0
2026-08-20 11:00:50;4.3;72.7;62.0
2026-08-20 11:00:52;20.2;72.0;62.0
2026-08-20 11:00:54;9.7;71.9;62.0
2026-08-20 11:00:56;5.9;72.0;62.0
2026-08-20 11:00:58;0.0;72.0;62.0
2026-08-20 11:01:00;3.9;71.9;62.0
2026-08-20 11:01:02;6.2;72.0;62.0
2026-08-20 11:01:04;2.7;72.0;62.0
2026-08-20 11:01:06;8.5;72.0;62.0
2026-08-20 11:01:08;9.8;71.9;62.0
2026-08-20 11:01:10;8.9;72.0;62.0
2026-08-20 11:01:12;15.4;72.0;62.0
2026-08-20 11:01:14;11.5;72.0;62.0
2026-08-20 11:01:16;27.6;72.3;62.0
2026-08-20 11:01:18;12.0;72.5;62.0
2026-08-20 11:01:20;20.8;72.6;62.0
2026-08-20 11:01:22;43.6;72.5;62.0
2026-08-20 11:01:24;0.8;72.5;62.0
2026-08-20 11:01:26;0.0;72.5;62.0
