timestamp;cpu;ram;disco
2026-08-20 10:40:53;6.5;48.4;71.4
2026-08-20 10:41:05;1.8;48.2;71.4
2026-08-20 10:41:17;0.3;48.2;71.4
2026-08-20 10:41:29;1.0;48.2;71.4
2026-08-20 10:41:41;16.3;49.0;71.4
2026-08-20 10:41:53;2.1;48.9;71.4
2026-08-20 10:42:05;8.7;48.9;71.4
2026-08-20 10:42:17;0.7;48.8;71.4
2026-08-20 10:42:29;0.6;48.8;71.4
2026-08-20 10:42:41;1.1;48.8;71.4
2026-08-20 10:42:53;0.4;48.7;71.4
2026-08-20 10:43:05;0.5;48.8;71.4
2026-08-20 10:43:17;3.1;48.7;71.4
2026-08-20 10:43:29;1.1;48.7;71.4
2026-08-20 10:43:41;0.8;48.8;71.4
2026-08-20 10:43:53;7.0;48.8;71.4
2026-08-20 10:44:05;1.0;48.8;71.5
2026-08-20 10:44:17;0.5;48.8;71.5
2026-08-20 10:44:29;0.8;48.8;71.5
2026-08-20 10:44:41;1.5;48.9;71.5
2026-08-20 10:44:53;1.1;49.0;71.5
2026-08-20 10:45:05;1.2;48.8;71.5
2026-08-20 10:45:18;0.9;48.8;71.5
2026-08-20 10:45:30;10.4;49.4;71.5
2026-08-20 10:45:42;7.1;49.3;71.5
2026-08-20 10:45:54;1.4;49.3;71.5
2026-08-20 10:46:06;2.3;49.2;71.5
2026-08-20 10:46:17;9.4;49.4;71.5
2026-08-20 10:46:24;2.8;49.9;71.5
2026-08-20 10:46:31;4.7;49.9;71.5
2026-08-20 10:46:38;1.4;49.5;71.5
2026-08-20 10:46:45;8.6;49.8;71.5
2026-08-20 10:46:52;4.3;49.7;71.5
2026-08-20 10:46:59;11.8;49.7;71.5
2026-08-20 10:47:07;0.7;50.0;71.5
2026-08-20 10:47:14;8.0;49.9;71.5
2026-08-20 10:47:21;7.6;50.1;71.5
2026-08-20 10:47:28;11.9;50.3;71.5
2026-08-20 10:47:35;3.3;50.3;71.5
2026-08-20 10:47:42;1.1;50.5;71.5
2026-08-20 10:47:49;28.7;51.2;71.5
2026-08-20 10:47:56;33.7;51.1;71.5
2026-08-20 10:48:03;26.4;52.2;71.5
2026-08-20 10:48:10;26.2;52.1;71.5
2026-08-20 10:48:17;24.9;52.0;71.5
2026-08-20 10:48:24;25.2;51.8;71.5
2026-08-20 10:48:31;28.4;51.5;71.5
2026-08-20 10:48:38;22.3;52.6;71.5
2026-08-20 10:48:45;59.1;53.3;71.5
2026-08-20 10:48:52;72.4;53.5;71.5
2026-08-20 10:49:00;47.0;54.1;71.5
2026-08-20 10:49:07;42.7;53.2;71.5
2026-08-20 10:49:14;42.4;52.3;71.5
2026-08-20 10:49:21;45.9;52.1;71.5
2026-08-20 10:49:28;42.0;52.1;71.5
2026-08-20 10:49:35;41.4;52.1;71.5
2026-08-20 10:49:42;41.1;52.2;71.5
2026-08-20 10:49:49;44.6;51.7;71.5
2026-08-20 10:49:56;43.2;51.7;71.5
2026-08-20 10:50:03;46.7;51.5;71.5
2026-08-20 10:50:10;43.1;52.7;71.5
2026-08-20 10:50:17;42.7;52.8;71.5
2026-08-20 10:50:24;44.9;52.5;71.5
2026-08-20 10:50:31;40.5;52.5;71.5
2026-08-20 10:50:38;39.9;52.0;71.5
2026-08-20 10:50:45;48.0;52.3;71.5
2026-08-20 10:50:52;46.4;52.7;71.5
2026-08-20 10:50:59;47.2;52.5;71.5
2026-08-20 10:51:06;52.5;51.3;71.5
2026-08-20 10:51:13;43.4;51.7;71.5
2026-08-20 10:51:20;41.4;51.2;71.5
2026-08-20 10:51:27;44.8;51.1;71.5
2026-08-20 10:51:35;42.7;50.4;71.5
2026-08-20 10:51:42;48.7;50.4;71.5
2026-08-20 10:51:49;62.6;50.6;71.5
2026-08-20 10:51:56;63.9;51.2;71.5
2026-08-20 10:52:03;55.0;50.5;71.5
2026-08-20 10:52:10;49.2;50.5;71.5
2026-08-20 10:52:17;46.6;50.5;71.5
2026-08-20 10:52:24;41.5;51.5;71.5
2026-08-20 10:52:31;42.1;51.5;71.5
2026-08-20 10:52:38;42.2;51.4;71.5
2026-08-20 10:52:45;49.5;51.6;71.5
2026-08-20 10:52:52;42.3;51.3;71.5
2026-08-20 10:52:59;45.0;51.0;71.5
2026-08-20 10:53:06;45.2;51.2;71.5
2026-08-20 10:53:13;57.0;50.8;71.5
2026-08-20 10:53:20;54.3;51.2;71.5
2026-08-20 10:53:27;51.5;51.3;71.5
2026-08-20 10:53:34;47.5;51.4;71.5
2026-08-20 10:53:41;43.8;50.7;71.5
2026-08-20 10:53:49;28.0;50.9;71.5
